año;aparatos_domesticos;apa_limpieza;combustible_servicios_publicos;vivienda;muebles;ropa;utensilios_domesticos 
2005;152120405577;952672126551;235630153322;885354808085;120701856601;146984953195;236612240348
2014;244643687313;208474732596;505150830288;19868533105;234123595883;282576442521;480383489161
2006;15981974047;104319022921;256452572771;984018284325;133806865525;159211727012;260081431181
2010;189635212209;143807797424;352847870076;13091927907;170218316886;201559018559;350259430917
2012;207298536514;169232262296;400780387177;153608736639;199197187177;236477659867;395859777297
2003;134852322781;78991818287;189572966843;748218392563;101861183155;125260575767;191337329903
2013;223703810526;185266174277;436456157119;172907380067;213483849352;257232799002;434430833038
2008;180288879839;127198795396;325627153671;115451081912;154907470922;185068558481;315535326221
2009;185538386127;135382022215;33097193368;122164874821;161978360031;192236300291;332550962162
2004;146036699797;881027485909;213432177466;811056727356;110235563949;13638169951;215811251245
2011;181654550747;157038449865;378326750716;143011140636;178239568841;210078930501;354003509739
2015;27731248327;240787623047;600656801071;229322300861;250195623846;307479996645;517596035352
2001;118170459925;637302403371;137627265316;655769479115;899244134634;106199690451;158169667578
2007;171459059944;11573188399;29036335398;107181875836;143218638664;172003464381;288225601211
2002;124895727669;698113448241;160016792448;699206988586;94314397503;114420814441;173246451951
