fecha,año,NDVI
May 6, 1984,0.118
Aug 26, 1984,0.045
Dec 16, 1984,0.144
Mar 22, 1985,0.12
Nov 17, 1985,0.049
Dec 3, 1985,0.139
Feb 5, 1986,0.083
Feb 21, 1986,0.114
Mar 9, 1986,0.042
Mar 25, 1986,0.079
Apr 26, 1986,0.026
Jul 15, 1986,0.076
Jul 31, 1986,-0.002
Sep 1, 1986,0.086
Sep 17, 1986,0.036
Oct 3, 1986,0.028
Oct 19, 1986,0.115
Nov 4, 1986,0.021
Dec 6, 1986,0.015
Dec 22, 1986,0.016
Jan 23, 1987,0.072
Feb 8, 1987,0.062
Mar 28, 1987,0.104
Apr 13, 1987,0.037
Apr 29, 1987,0.129
May 31, 1987,-0.04
Aug 19, 1987,-0.068
Sep 20, 1987,0.069
Oct 6, 1987,-0.026
Dec 14, 1989,0.109
Dec 30, 1989,0.096
Jan 15, 1990,-0.008
Mar 4, 1990,0.082
Apr 5, 1990,-0.048
Apr 21, 1990,0.062
Aug 27, 1990,0.004
Sep 12, 1990,0.093
Jan 18, 1991,0.062
Feb 3, 1991,0.094
Feb 19, 1991,0.114
Mar 23, 1991,0.12
Apr 8, 1991,0.029
Apr 24, 1991,0.063
May 10, 1991,0.044
May 26, 1991,0.086
Jun 11, 1991,0.098
Jul 13, 1991,0.08
Aug 14, 1991,-0.061
Aug 30, 1991,0.023
Sep 15, 1991,-0.266
Oct 1, 1991,0.119
Nov 2, 1991,0.021
Nov 18, 1991,0.093
Dec 4, 1991,0.133
Dec 20, 1991,0.128
Feb 8, 1993,-0.018
Feb 24, 1993,0.076
Mar 12, 1993,0.035
Mar 28, 1993,0.04
May 31, 1993,0.044
Jun 16, 1993,0.014
Sep 4, 1993,0.007
Feb 11, 1994,0.065
Sep 23, 1994,0.085
Feb 14, 1995,0.09
Aug 9, 1995,0.072
Sep 10, 1995,-0.029
Dec 31, 1995,0.119
Jan 16, 1996,0.085
Feb 1, 1996,0.053
Mar 4, 1996,0.1
Jun 24, 1996,0.014
Jul 10, 1996,0.018
Jul 26, 1996,0.072
Aug 11, 1996,0.072
Sep 12, 1996,0.1
Sep 28, 1996,-0.08
Oct 14, 1996,0.07
Jan 18, 1997,0.055
May 10, 1997,0.05
Jun 27, 1997,0.096
Aug 30, 1997,0.102
Sep 15, 1997,0.032
Oct 1, 1997,0.068
Oct 17, 1997,-0
Nov 2, 1997,0.098
Dec 20, 1997,0.096
Jan 5, 1998,0.071
Feb 6, 1998,0.049
Feb 22, 1998,0.05
Apr 11, 1998,0.097
Apr 27, 1998,0.062
May 13, 1998,0.08
Jun 30, 1998,0.089
Jul 16, 1998,0.035
Aug 1, 1998,0.024
Aug 17, 1998,0.047
Sep 2, 1998,0.011
Oct 4, 1998,0.078
Nov 5, 1998,0.049
Nov 21, 1998,0.027
Dec 7, 1998,0.013
Dec 23, 1998,0.11
Jan 8, 1999,0.028
Feb 9, 1999,-0.053
Feb 25, 1999,0.012
Mar 13, 1999,0
Mar 29, 1999,0.059
May 16, 1999,0.068
Jun 1, 1999,0.038
Jun 17, 1999,0.037
Jul 3, 1999,0.079
Jul 19, 1999,0.028
Aug 4, 1999,0.02
Aug 12, 1999,0
Aug 20, 1999,0.032
Aug 28, 1999,-0.132
Sep 5, 1999,0.013
Sep 13, 1999,0.031
Sep 21, 1999,0.017
Sep 29, 1999,0.011
Oct 7, 1999,0.087
Oct 15, 1999,-0.123
Oct 31, 1999,0.062
Nov 16, 1999,0.093
Dec 10, 1999,0.062
Dec 26, 1999,0.096
Jan 11, 2000,0.003
Jan 27, 2000,0.095
Feb 20, 2000,0.092
Apr 8, 2000,-0.147
May 2, 2000,-0.002
May 10, 2000,-0.345
May 18, 2000,-0.017
May 26, 2000,-0.196
Jun 3, 2000,0.103
Jun 11, 2000,-0.028
Jun 19, 2000,0.025
Jul 5, 2000,0.011
Jul 29, 2000,-0.047
Aug 6, 2000,0.026
Aug 14, 2000,-0.245
Aug 22, 2000,-0.13
Aug 30, 2000,0.044
Sep 7, 2000,-0.075
Sep 15, 2000,-0.299
Sep 23, 2000,0.021
Oct 1, 2000,0.034
Oct 9, 2000,-0.047
Oct 17, 2000,-0.113
Jan 5, 2001,0.08
Jan 21, 2001,0.085
Jan 29, 2001,0.088
Feb 14, 2001,0.084
Feb 22, 2001,0.032
Mar 10, 2001,-0.119
Mar 26, 2001,-0.032
Apr 3, 2001,0.091
Apr 11, 2001,-0.002
Apr 27, 2001,0.076
May 13, 2001,-0.067
May 29, 2001,-0.254
Jun 6, 2001,0.025
Jun 14, 2001,-0.121
Jun 30, 2001,-0.317
Jul 8, 2001,0.048
Jul 16, 2001,-0.08
Aug 1, 2001,-0.245
Aug 17, 2001,0.046
Sep 18, 2001,-0.098
Oct 4, 2001,-0.32
Nov 5, 2001,-0.267
Nov 21, 2001,-0.357
Dec 7, 2001,-0.024
Dec 23, 2001,0.075
Jan 8, 2002,-0.028
Jan 24, 2002,-0.128
Feb 9, 2002,0.09
Feb 25, 2002,0.087
Mar 13, 2002,0.018
Apr 14, 2002,0.055
May 16, 2002,-0.331
Jun 1, 2002,-0.241
Jul 3, 2002,-0.288
Jul 19, 2002,0.081
Aug 20, 2002,-0.304
Sep 5, 2002,0.066
Sep 21, 2002,0.087
Oct 7, 2002,0.006
Nov 24, 2002,-0.022
Dec 10, 2002,0.101
Dec 26, 2002,0.067
Jan 11, 2003,0.1
Jan 27, 2003,0.087
Feb 12, 2003,0.092
Feb 28, 2003,0.002
Mar 16, 2003,-0.091
Apr 1, 2003,-0.207
Jul 22, 2003,-0.23
Aug 7, 2003,-0.323
Aug 23, 2003,-0.313
Sep 24, 2003,-0.263
Oct 26, 2003,-0.016
Dec 13, 2003,-0.061
Dec 29, 2003,-0.101
Jan 14, 2004,0.097
Jan 30, 2004,0.088
Feb 15, 2004,0.076
Mar 2, 2004,-0.269
Jun 22, 2004,-0.121
Jul 8, 2004,0.023
Jul 24, 2004,-0.216
Aug 9, 2004,0.092
Aug 25, 2004,-0.007
Sep 10, 2004,-0.058
Sep 26, 2004,-0.069
Oct 12, 2004,-0.116
Oct 28, 2004,-0.393
Nov 13, 2004,-0.128
Nov 29, 2004,0.054
Dec 31, 2004,0.047
Jan 16, 2005,0.068
Feb 1, 2005,0.09
Feb 17, 2005,-0.054
Mar 21, 2005,-0.375
May 8, 2005,0.073
Jun 9, 2005,-0.365
Jun 25, 2005,0.041
Jul 27, 2005,-0.14
Aug 12, 2005,0.021
Oct 31, 2005,-0.267
Dec 2, 2005,0.021
Dec 18, 2005,-0.031
Jan 3, 2006,0.066
Jan 19, 2006,0.09
Feb 4, 2006,-0.416
Feb 20, 2006,-0.022
Mar 24, 2006,-0.382
Apr 9, 2006,0.061
Apr 25, 2006,-0.322
May 11, 2006,-0.216
May 27, 2006,-0.286
Jun 28, 2006,-0.251
Aug 15, 2006,-0.148
Oct 2, 2006,-0.289
Oct 18, 2006,-0.023
Nov 3, 2006,0.088
Jan 6, 2007,0.073
Jan 22, 2007,-0
Feb 7, 2007,0.079
Feb 23, 2007,0.084
Mar 11, 2007,-0.209
Mar 27, 2007,-0.103
Apr 12, 2007,-0.177
Jun 15, 2007,0.076
Jul 1, 2007,-0.154
Jul 17, 2007,0.067
Sep 11, 2007,0.019
Sep 19, 2007,-0.19
Sep 27, 2007,-0.042
Oct 5, 2007,-0.093
Nov 6, 2007,0.085
Dec 24, 2007,0.07
Jan 25, 2008,0.057
Feb 26, 2008,-0.008
Jul 3, 2008,-0.071
Jul 19, 2008,-0.043
Aug 4, 2008,0.056
Aug 20, 2008,-0.198
Sep 21, 2008,-0.087
Oct 23, 2008,0.016
Nov 8, 2008,-0.032
Dec 10, 2008,-0.105
Dec 26, 2008,-0.021
Jan 11, 2009,-0.064
Feb 12, 2009,-0.312
Feb 28, 2009,0.055
Apr 1, 2009,-0.047
Apr 17, 2009,-0.166
May 3, 2009,-0.445
Jun 4, 2009,-0.089
Jun 20, 2009,-0.284
Jul 22, 2009,-0.147
Aug 7, 2009,-0.308
Aug 23, 2009,0.024
Sep 8, 2009,0.092
Sep 24, 2009,0.026
Oct 10, 2009,-0.094
Oct 26, 2009,0.026
Nov 11, 2009,0.072
Nov 27, 2009,0.103
Dec 13, 2009,0.099
Dec 29, 2009,0.101
Jan 14, 2010,0.095
Jan 22, 2010,0.092
Jan 30, 2010,0.09
Feb 15, 2010,-0.196
Feb 23, 2010,0.03
Mar 19, 2010,0.003
Apr 4, 2010,-0.179
Apr 20, 2010,-0.034
May 6, 2010,0.013
Jun 7, 2010,-0.279
Jun 23, 2010,0.017
Jul 9, 2010,0.044
Jul 25, 2010,-0.06
Aug 10, 2010,0.061
Aug 26, 2010,-0.275
Sep 11, 2010,-0.256
Sep 27, 2010,-0.016
Oct 13, 2010,-0.068
Oct 29, 2010,0.086
Nov 14, 2010,-0.151
Nov 30, 2010,-0.082
Dec 16, 2010,0.045
Dec 24, 2010,0.036
Jan 1, 2011,0.048
Jan 17, 2011,0.09
Feb 2, 2011,0.038
Feb 18, 2011,-0.227
Mar 14, 2011,-0.029
