fecha,año,NDWI
May 6, 1984,-0
Aug 26, 1984,0.12
Dec 16, 1984,0.037
Mar 22, 1985,-0.011
Nov 17, 1985,-0.065
Dec 3, 1985,0.034
Feb 5, 1986,0.029
Feb 21, 1986,0.018
Mar 9, 1986,0.024
Mar 25, 1986,0.008
Apr 26, 1986,0.106
Jul 15, 1986,0.052
Jul 31, 1986,0.11
Sep 1, 1986,0.055
Sep 17, 1986,0.064
Oct 3, 1986,-0.083
Oct 19, 1986,0.035
Nov 4, 1986,0.046
Dec 6, 1986,0.121
Dec 22, 1986,0.094
Jan 23, 1987,0.095
Feb 8, 1987,0.164
Mar 28, 1987,0.051
Apr 13, 1987,0.134
Apr 29, 1987,0.028
May 31, 1987,0.157
Aug 19, 1987,0.206
Sep 20, 1987,0.046
Oct 6, 1987,0.009
Dec 14, 1989,0.074
Dec 30, 1989,0.004
Jan 15, 1990,0.045
Mar 4, 1990,0.033
Apr 5, 1990,-0
Apr 21, 1990,0.104
Aug 27, 1990,-0.003
Sep 12, 1990,0.027
Jan 18, 1991,0.012
Feb 3, 1991,0.039
Feb 19, 1991,0.011
Mar 23, 1991,0.014
Apr 8, 1991,0.085
Apr 24, 1991,0.113
May 10, 1991,0.011
May 26, 1991,0.028
Jun 11, 1991,0.026
Jul 13, 1991,0.079
Aug 14, 1991,0.152
Aug 30, 1991,0.099
Sep 15, 1991,0.409
Oct 1, 1991,0.06
Nov 2, 1991,0.026
Nov 18, 1991,0.062
Dec 4, 1991,0.04
Dec 20, 1991,0.047
Feb 8, 1993,0.082
Feb 24, 1993,0.045
Mar 12, 1993,0.085
Mar 28, 1993,-0.042
May 31, 1993,-0.006
Jun 16, 1993,0.172
Sep 4, 1993,0.091
Feb 11, 1994,0.005
Sep 23, 1994,0.017
Feb 14, 1995,-0.017
Aug 9, 1995,0.004
Sep 10, 1995,0.099
Dec 31, 1995,0.009
Jan 16, 1996,0.078
Feb 1, 1996,0.015
Mar 4, 1996,0.026
Jun 24, 1996,0.102
Jul 10, 1996,0.109
Jul 26, 1996,0.031
Aug 11, 1996,0.022
Sep 12, 1996,0.025
Sep 28, 1996,0.063
Oct 14, 1996,0.041
Jan 18, 1997,0.038
May 10, 1997,0.151
Jun 27, 1997,0.038
Aug 30, 1997,-0.01
Sep 15, 1997,0.126
Oct 1, 1997,-0.004
Oct 17, 1997,0.03
Nov 2, 1997,-0.003
Dec 20, 1997,0.013
Jan 5, 1998,0.014
Feb 6, 1998,0.028
Feb 22, 1998,0.014
Apr 11, 1998,0.022
Apr 27, 1998,0.014
May 13, 1998,-0.003
Jun 30, 1998,0.012
Jul 16, 1998,0.056
Aug 1, 1998,0.011
Aug 17, 1998,0.057
Sep 2, 1998,-0.003
Oct 4, 1998,0.012
Nov 5, 1998,0.029
Nov 21, 1998,-0.012
Dec 7, 1998,0.28
Dec 23, 1998,0.005
Jan 8, 1999,0.01
Feb 9, 1999,0.128
Feb 25, 1999,-0.027
Mar 13, 1999,0.557
Mar 29, 1999,0.021
May 16, 1999,0.11
Jun 1, 1999,0.053
Jun 17, 1999,0.106
Jul 3, 1999,0.032
Jul 19, 1999,0.043
Aug 4, 1999,0.124
Aug 12, 1999,0.114
Aug 20, 1999,-0.044
Aug 28, 1999,0.06
Sep 5, 1999,0.391
Sep 13, 1999,0.021
Sep 21, 1999,0.201
Sep 29, 1999,0.191
Oct 7, 1999,0.019
Oct 15, 1999,0.265
Oct 31, 1999,0.007
Nov 16, 1999,-0.006
Dec 10, 1999,0.051
Dec 26, 1999,0.012
Jan 11, 2000,-0.051
Jan 27, 2000,0.021
Feb 20, 2000,-0.005
Apr 8, 2000,-0.077
May 2, 2000,-0.033
May 10, 2000,0.282
May 18, 2000,0.101
May 26, 2000,0.088
